filename,year,doy,profile_idx,profile_num,date,index
RCA_sb_sp_temperature_2018_015_5150_6_V1.nc,2018,15,5150,6,2018-01-15,122
RCA_sb_sp_temperature_2018_015_5151_7_V1.nc,2018,15,5151,7,2018-01-15,123
RCA_sb_sp_temperature_2018_015_5152_8_V1.nc,2018,15,5152,8,2018-01-15,124
RCA_sb_sp_temperature_2018_015_5153_9_V1.nc,2018,15,5153,9,2018-01-15,125
RCA_sb_sp_temperature_2018_016_5154_1_V1.nc,2018,16,5154,1,2018-01-16,126
RCA_sb_sp_temperature_2018_016_5155_2_V1.nc,2018,16,5155,2,2018-01-16,127
RCA_sb_sp_temperature_2018_016_5156_3_V1.nc,2018,16,5156,3,2018-01-16,128
RCA_sb_sp_temperature_2018_016_5157_4_V1.nc,2018,16,5157,4,2018-01-16,129
RCA_sb_sp_temperature_2018_016_5158_5_V1.nc,2018,16,5158,5,2018-01-16,130
RCA_sb_sp_temperature_2018_016_5159_6_V1.nc,2018,16,5159,6,2018-01-16,131
RCA_sb_sp_temperature_2018_016_5160_7_V1.nc,2018,16,5160,7,2018-01-16,132
RCA_sb_sp_temperature_2018_016_5161_8_V1.nc,2018,16,5161,8,2018-01-16,133
RCA_sb_sp_temperature_2018_016_5162_9_V1.nc,2018,16,5162,9,2018-01-16,134
RCA_sb_sp_temperature_2018_017_5163_1_V1.nc,2018,17,5163,1,2018-01-17,135
RCA_sb_sp_temperature_2018_017_5164_2_V1.nc,2018,17,5164,2,2018-01-17,136
RCA_sb_sp_temperature_2018_017_5165_3_V1.nc,2018,17,5165,3,2018-01-17,137
RCA_sb_sp_temperature_2018_017_5166_4_V1.nc,2018,17,5166,4,2018-01-17,138
RCA_sb_sp_temperature_2018_017_5167_5_V1.nc,2018,17,5167,5,2018-01-17,139
RCA_sb_sp_temperature_2018_017_5168_6_V1.nc,2018,17,5168,6,2018-01-17,140
RCA_sb_sp_temperature_2018_017_5169_7_V1.nc,2018,17,5169,7,2018-01-17,141
RCA_sb_sp_temperature_2018_017_5170_8_V1.nc,2018,17,5170,8,2018-01-17,142
RCA_sb_sp_temperature_2018_017_5171_9_V1.nc,2018,17,5171,9,2018-01-17,143
RCA_sb_sp_temperature_2018_018_5172_1_V1.nc,2018,18,5172,1,2018-01-18,144
RCA_sb_sp_temperature_2018_018_5173_2_V1.nc,2018,18,5173,2,2018-01-18,145
RCA_sb_sp_temperature_2018_018_5174_3_V1.nc,2018,18,5174,3,2018-01-18,146
RCA_sb_sp_temperature_2018_018_5175_4_V1.nc,2018,18,5175,4,2018-01-18,147
RCA_sb_sp_temperature_2018_018_5176_5_V1.nc,2018,18,5176,5,2018-01-18,148
RCA_sb_sp_temperature_2018_018_5177_6_V1.nc,2018,18,5177,6,2018-01-18,149
RCA_sb_sp_temperature_2018_018_5178_7_V1.nc,2018,18,5178,7,2018-01-18,150
RCA_sb_sp_temperature_2018_018_5179_8_V1.nc,2018,18,5179,8,2018-01-18,151
RCA_sb_sp_temperature_2018_018_5180_9_V1.nc,2018,18,5180,9,2018-01-18,152
RCA_sb_sp_temperature_2018_019_5181_1_V1.nc,2018,19,5181,1,2018-01-19,153
RCA_sb_sp_temperature_2018_019_5182_2_V1.nc,2018,19,5182,2,2018-01-19,154
RCA_sb_sp_temperature_2018_020_5183_1_V1.nc,2018,20,5183,1,2018-01-20,155
RCA_sb_sp_temperature_2018_020_5184_2_V1.nc,2018,20,5184,2,2018-01-20,156
RCA_sb_sp_temperature_2018_020_5185_3_V1.nc,2018,20,5185,3,2018-01-20,157
RCA_sb_sp_temperature_2018_020_5186_4_V1.nc,2018,20,5186,4,2018-01-20,158
RCA_sb_sp_temperature_2018_020_5187_5_V1.nc,2018,20,5187,5,2018-01-20,159
RCA_sb_sp_temperature_2018_020_5188_6_V1.nc,2018,20,5188,6,2018-01-20,160
