#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 05 01 50 127  6.7  8.2  2.54 13.79  8.37 268  997.1  11.7  11.6 999.0 99.0 99.00
2016 01 05 02 50 135  7.6  9.6  2.53 14.81  8.32 262  996.8  10.6  11.5 999.0 99.0 99.00
2016 01 05 03 50 155  8.6 10.7  2.54 14.81  7.73 269  996.0  11.5  11.4 999.0 99.0 99.00
2016 01 05 04 50 175 12.8 15.7  3.01 14.81  6.80 268  995.4  12.4  11.4 999.0 99.0 99.00
2016 01 05 05 50 171 11.7 14.3  3.23 13.79  6.53 272  995.5  11.4  11.4 999.0 99.0 99.00
2016 01 05 06 50 171 11.6 14.5  3.63 14.81  6.81 267  995.9  11.5  11.4 999.0 99.0 99.00
2016 01 05 07 50 160 13.1 15.3  3.83 14.81  7.16 260  995.1  12.3  11.3 999.0 99.0 99.00
2016 01 05 08 50 166 13.3 15.8  4.03 14.81  7.10  77  995.5  11.2  11.2 999.0 99.0 99.00
2016 01 05 09 50 207 11.3 13.9  3.96 13.79  7.02 274  996.3  11.0  10.9 999.0 99.0 99.00
2016 01 05 10 50 186 15.3 19.0  3.91 14.81  6.88  82  995.8  10.6  10.8 999.0 99.0 99.00
2016 01 05 11 50 195  9.9 11.6  4.01 13.79  7.21 261  996.5  10.6  10.9 999.0 99.0 99.00
2016 01 05 12 50 176 11.3 13.6  4.02 13.79  7.81 257  996.7  10.3  10.8 999.0 99.0 99.00
2016 01 05 13 50 176 11.3 13.5  3.85 21.05  7.77 255  997.0   9.8  10.7 999.0 99.0 99.00
2016 01 05 14 50 186 12.0 14.4  4.00 19.05  8.31 113  997.5  10.2  10.7 999.0 99.0 99.00
2016 01 05 15 50 177 11.7 13.8  4.23 19.05  8.57 268  997.6  10.1  10.7 999.0 99.0 99.00
2016 01 05 16 50 176 12.8 15.3  4.18 19.05  8.77 259  998.2  10.6  10.8 999.0 99.0 99.00
2016 01 05 17 50 171 12.1 15.2  4.06 19.05  8.32 261  998.8  10.5  10.9 999.0 99.0 99.00
2016 01 05 18 50 173 12.1 14.8  4.25 17.39  8.32 252  999.0  10.6  11.0 999.0 99.0 99.00
2016 01 05 19 50 172 12.7 15.3  4.43 19.05  8.89 254  998.6  11.1  11.3 999.0 99.0 99.00
2016 01 05 20 50 170 13.3 17.9  5.75 19.05 10.34  62  998.1  11.1  11.4 999.0 99.0 99.00
2016 01 05 21 50 183 12.5 15.6  4.72 17.39  9.34 258  997.8  11.8  11.4 999.0 99.0 99.00
