year,doy,profile_idx,profile_num,date,index
2016,26,893,9,2016-01-26,233
2016,27,894,1,2016-01-27,234
2016,27,895,2,2016-01-27,235
2016,27,896,3,2016-01-27,236
2016,27,897,4,2016-01-27,237
2016,27,898,5,2016-01-27,238
2016,27,899,6,2016-01-27,239
2016,27,900,7,2016-01-27,240
2016,27,901,8,2016-01-27,241
2016,28,902,1,2016-01-28,242
2016,28,903,2,2016-01-28,243
2016,28,904,3,2016-01-28,244
2016,28,905,4,2016-01-28,245
2016,28,906,5,2016-01-28,246
2016,28,907,6,2016-01-28,247
2016,28,908,7,2016-01-28,248
2016,28,909,8,2016-01-28,249
2016,28,910,9,2016-01-28,250
2016,29,911,1,2016-01-29,251
2016,29,912,2,2016-01-29,252
2016,29,913,3,2016-01-29,253
2016,29,914,4,2016-01-29,254
2016,29,915,5,2016-01-29,255
2016,29,916,6,2016-01-29,256
2016,29,917,7,2016-01-29,257
2016,29,918,8,2016-01-29,258
2016,29,919,9,2016-01-29,259
2016,30,920,1,2016-01-30,260
2016,30,921,2,2016-01-30,261
2016,30,922,3,2016-01-30,262
2016,30,923,4,2016-01-30,263
2016,30,924,5,2016-01-30,264
2016,30,925,6,2016-01-30,265
2016,30,926,7,2016-01-30,266
2016,31,927,1,2016-01-31,267
2016,31,928,2,2016-01-31,268
2016,31,929,3,2016-01-31,269
2016,32,930,1,2016-02-01,270
2016,32,931,2,2016-02-01,271
2016,32,932,3,2016-02-01,272
2016,32,933,4,2016-02-01,273
2016,32,934,5,2016-02-01,274
2016,32,935,6,2016-02-01,275
2016,32,936,7,2016-02-01,276
2016,32,937,8,2016-02-01,277
2016,32,938,9,2016-02-01,278
2016,33,939,1,2016-02-02,279
2016,33,940,2,2016-02-02,280
2016,33,941,3,2016-02-02,281
2016,33,942,4,2016-02-02,282
2016,33,943,5,2016-02-02,283
2016,33,944,6,2016-02-02,284
2016,33,945,7,2016-02-02,285
2016,33,946,8,2016-02-02,286
2016,33,947,9,2016-02-02,287
2016,34,948,1,2016-02-03,288
2016,34,949,2,2016-02-03,289
2016,34,950,3,2016-02-03,290
2016,34,951,4,2016-02-03,291
2016,34,952,5,2016-02-03,292
2016,34,953,6,2016-02-03,293
2016,34,954,7,2016-02-03,294
2016,34,955,8,2016-02-03,295
2016,35,956,1,2016-02-04,296
2016,35,957,2,2016-02-04,297
2016,35,958,3,2016-02-04,298
2016,35,959,4,2016-02-04,299
2016,35,960,5,2016-02-04,300
2016,35,961,6,2016-02-04,301
2016,35,962,7,2016-02-04,302
2016,35,963,8,2016-02-04,303
2016,35,964,9,2016-02-04,304
2016,36,965,1,2016-02-05,305
2016,36,966,2,2016-02-05,306
2016,36,967,3,2016-02-05,307
2016,36,968,4,2016-02-05,308
2016,36,969,5,2016-02-05,309
2016,36,970,6,2016-02-05,310
2016,36,971,7,2016-02-05,311
2016,36,972,8,2016-02-05,312
2016,36,973,9,2016-02-05,313
2016,37,974,1,2016-02-06,314
2016,37,975,2,2016-02-06,315
2016,37,976,3,2016-02-06,316
2016,37,977,4,2016-02-06,317
2016,37,978,5,2016-02-06,318
2016,40,979,1,2016-02-09,319
2016,40,980,2,2016-02-09,320
2016,40,981,3,2016-02-09,321
2016,41,982,1,2016-02-10,322
2016,41,983,2,2016-02-10,323
2016,41,984,3,2016-02-10,324
2016,41,985,4,2016-02-10,325
2016,41,986,5,2016-02-10,326
2016,41,987,6,2016-02-10,327
2016,41,988,7,2016-02-10,328
2016,41,989,8,2016-02-10,329
2016,41,990,9,2016-02-10,330
2016,42,991,1,2016-02-11,331
2016,42,992,2,2016-02-11,332
2016,42,993,3,2016-02-11,333
2016,42,994,4,2016-02-11,334
2016,42,995,5,2016-02-11,335
2016,42,996,6,2016-02-11,336
2016,42,997,7,2016-02-11,337
2016,42,998,8,2016-02-11,338
2016,42,999,9,2016-02-11,339
2016,43,1000,1,2016-02-12,340
2016,43,1001,2,2016-02-12,341
2016,43,1002,3,2016-02-12,342
2016,43,1003,4,2016-02-12,343
2016,43,1004,5,2016-02-12,344
2016,43,1005,6,2016-02-12,345
2016,43,1006,7,2016-02-12,346
2016,43,1007,8,2016-02-12,347
2016,43,1008,9,2016-02-12,348
2016,44,1009,1,2016-02-13,349
2016,44,1010,2,2016-02-13,350
2016,44,1011,3,2016-02-13,351
2016,44,1012,4,2016-02-13,352
2016,44,1013,5,2016-02-13,353
2016,44,1014,6,2016-02-13,354
2016,44,1015,7,2016-02-13,355
2016,44,1016,8,2016-02-13,356
2016,44,1017,9,2016-02-13,357
2016,45,1018,1,2016-02-14,358
2016,45,1019,2,2016-02-14,359
2016,45,1020,3,2016-02-14,360
2016,45,1021,4,2016-02-14,361
2016,45,1022,5,2016-02-14,362
2016,45,1023,6,2016-02-14,363
2016,45,1024,7,2016-02-14,364
2016,45,1025,8,2016-02-14,365
2016,45,1026,9,2016-02-14,366
2016,46,1027,1,2016-02-15,367
2016,46,1028,2,2016-02-15,368
2016,46,1029,3,2016-02-15,369
2016,46,1030,4,2016-02-15,370
2016,46,1031,5,2016-02-15,371
2016,46,1032,6,2016-02-15,372
