year,doy,profile_idx,profile_num,date,index,cluster,month
2016,23,865,8,2016-01-23,205,0,1
2016,23,866,9,2016-01-23,206,0,1
2016,24,867,1,2016-01-24,207,0,1
2016,24,868,2,2016-01-24,208,0,1
2016,24,869,3,2016-01-24,209,0,1
2016,24,870,4,2016-01-24,210,0,1
2016,24,871,5,2016-01-24,211,0,1
2016,24,872,6,2016-01-24,212,0,1
2016,24,873,7,2016-01-24,213,0,1
2016,24,874,8,2016-01-24,214,0,1
2016,24,875,9,2016-01-24,215,0,1
2016,25,876,1,2016-01-25,216,0,1
2016,25,877,2,2016-01-25,217,0,1
2016,25,878,3,2016-01-25,218,0,1
2016,25,879,4,2016-01-25,219,0,1
2016,25,880,5,2016-01-25,220,0,1
2016,25,881,6,2016-01-25,221,0,1
2016,25,882,7,2016-01-25,222,0,1
2016,25,883,8,2016-01-25,223,0,1
2016,25,884,9,2016-01-25,224,0,1
2016,26,885,1,2016-01-26,225,0,1
2016,26,886,2,2016-01-26,226,0,1
2016,26,887,3,2016-01-26,227,0,1
2016,26,888,4,2016-01-26,228,0,1
2016,26,889,5,2016-01-26,229,0,1
2016,26,890,6,2016-01-26,230,0,1
2016,26,891,7,2016-01-26,231,0,1
2016,26,892,8,2016-01-26,232,0,1
2016,26,893,9,2016-01-26,233,0,1
2016,27,894,1,2016-01-27,234,0,1
2016,27,895,2,2016-01-27,235,0,1
2016,27,896,3,2016-01-27,236,0,1
2016,27,897,4,2016-01-27,237,0,1
2016,27,898,5,2016-01-27,238,0,1
2016,27,899,6,2016-01-27,239,0,1
2016,27,900,7,2016-01-27,240,0,1
2016,27,901,8,2016-01-27,241,0,1
2016,28,902,1,2016-01-28,242,0,1
2016,28,903,2,2016-01-28,243,0,1
2016,28,904,3,2016-01-28,244,0,1
2016,28,905,4,2016-01-28,245,0,1
2016,28,906,5,2016-01-28,246,0,1
2016,28,907,6,2016-01-28,247,0,1
2016,28,908,7,2016-01-28,248,0,1
2016,28,909,8,2016-01-28,249,0,1
2016,28,910,9,2016-01-28,250,0,1
2016,29,911,1,2016-01-29,251,0,1
2016,29,912,2,2016-01-29,252,0,1
2016,29,913,3,2016-01-29,253,0,1
2016,29,914,4,2016-01-29,254,0,1
2016,29,915,5,2016-01-29,255,0,1
2016,29,916,6,2016-01-29,256,0,1
2016,29,917,7,2016-01-29,257,0,1
2016,29,918,8,2016-01-29,258,0,1
2016,29,919,9,2016-01-29,259,0,1
2016,30,920,1,2016-01-30,260,0,1
